id	X.id	X.type	type	name	flat	details.description	details.numberOfClasses	details.categories	details.hasOntologyLanguage	details.released	details.creationDate	details.homepage	details.publication	details.documentation	details.version	details.metricsAvailable	details.hasSubmissions
NCIT-ORG	https://data.bioontology.org/ontologies/NCIT-ORG	http://data.bioontology.org/metadata/Ontology	Ontology	NCIT Organism Module	FALSE	Organism module, extracted from the NCI Thesaurus.	2991		OWL	2018-06-14T00:00:00+00:00	2018-06-14T16:16:17-07:00					TRUE	TRUE
OCRE	https://data.bioontology.org/ontologies/OCRE	http://data.bioontology.org/metadata/Ontology	Ontology	Ontology of Clinical Research	FALSE	OCRe is an ontology designed to support systematic description of, and interoperable queries on, human studies and study elements.	389	Biomedical Resources	OWL	2013-06-21T00:00:00-07:00	2013-06-21T11:16:55-07:00	http://rctbank.ucsf.edu/home/ocre	http://rctbank.ucsf.edu/home/ocre	http://rctbank.ucsf.edu/home/ocre	Revision 315	TRUE	TRUE
OBOE	https://data.bioontology.org/ontologies/OBOE	http://data.bioontology.org/metadata/Ontology	Ontology	The Extensible Observation Ontology	FALSE	"The Extensible Observation Ontology (OBOE) is a formal ontology for capturing the semantics of scientific observation and measurement. The ontology supports researchers to add detailed semantic annotations to scientific data, thereby clarifying the inherent meaning of scientific observations. The main concepts in OBOE include:

- Observation: an event in which one or more measurements are taken
- Measurement: the measured value of a property for a specific object or phenomenon (e.g., 3.2)
- Entity: an object or phenomenon on which measurements are made (e.g., Quercus rubrum)
- Characteristic: the property being measured (e.g., VolumetricDensity)
- Standard: units and controlled vocabularies for interpreting measured values (e.g., g/cm^3)
- Protocol: the procedures followed to obtain measurements (e.g., DensityProtocol2014)

OBOE can characterize the context of an observation (e.g., space and time), as well as dependencies such as nested experimental observations. It includes an extensive set of unit definitions (e.g., grams of carbon per liter of seawater), and can facilitate automatic unit conversions (e.g., pounds to kilograms). OBOE can be easily extended to create Entities and Characteristics for specific research domains, making it both broadly applicable and highly customizable.

OBOE is being used to improve data interpretation, facilitate reuse, and create precise and effective systems for data search and discovery."	292		OWL	2019-09-17T00:00:00+00:00	2019-09-17T18:59:47-07:00	https://github.com/NCEAS/oboe	Madin, J., S. Bowers, M. Schildhauer, S. Krivov, D. Pennington, and F. Villa. 2007. An ontology for describing and synthesizing ecological observation data. Ecological Informatics 2:279–296. doi:10.1016/j.ecoinf.2007.05.004	https://github.com/NCEAS/oboe	Version 1.2	TRUE	TRUE
ISO-ANNOTATIONS	https://data.bioontology.org/ontologies/ISO-ANNOTATIONS	http://data.bioontology.org/metadata/Ontology	Ontology	ISO-15926-2_2003_annotations	FALSE	Oil and Gas Annotations	203	Other	OWL	2016-01-09T00:00:00+00:00	2016-01-07T11:40:37-08:00					TRUE	TRUE
FAST-FORMGENRE	https://data.bioontology.org/ontologies/FAST-FORMGENRE	http://data.bioontology.org/metadata/Ontology	Ontology	FAST (Faceted Application of Subject Terminology) FormGenre facet	FALSE	FAST is an enumerative, faceted subject heading schema derived from the Library of Congress Subject Headings (LCSH). The purpose of adapting the LCSH with a simplified syntax to create FAST is to retain the very rich vocabulary of LCSH while making the schema easier to understand, control, apply, and use.	3		SKOS	2017-04-14T00:00:00+00:00	2017-09-06T13:43:48-07:00					TRUE	TRUE
TM-SIGNS-AND-SYMPTS	https://data.bioontology.org/ontologies/TM-SIGNS-AND-SYMPTS	http://data.bioontology.org/metadata/Ontology	Ontology	Traditional Medicine Signs and Symptoms Value Set	FALSE	The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).	325		OWL	2011-01-31T00:00:00-08:00	2011-01-31T18:31:04-08:00	https://sites.google.com/site/whoictm/home		https://sites.google.com/site/whoictm/home	1	TRUE	TRUE
CMDO	https://data.bioontology.org/ontologies/CMDO	http://data.bioontology.org/metadata/Ontology	Ontology	Clinical MetaData Ontology	FALSE	The Clinical MetaData Ontology is designed to be used to classify Common Data Elements (CDEs) from different studies and clinical documents. CDEs can be efficiently searched, shared and reused by using our ontology.	188		OWL	2019-02-26T00:00:00+00:00	2019-07-12T02:44:05-07:00	http://www.snubi.org/software/cmo/			1.1.4	TRUE	TRUE
PHAGE	https://data.bioontology.org/ontologies/PHAGE	http://data.bioontology.org/metadata/Ontology	Ontology	Phylogenetics Ontology	FALSE	This ontology represents the seven steps of phylogenetic analyses. Each root concept step is composed from a set of resource annotations (to represent the data-flow) and programs (to represent the control flow). Object properties serve to represent relations to annotate data (e.g. has_RetrievedInDatabase, has_ModeledBy, etc.) and reorder the sequence of programs (e.g. has_InputOutput).This ontology has been collected in a semi-automated way from well-known databases such as NCBI, GeneOntology, UniProtKB and Felsenstein’s Web site through Web crawling and mapping techniques.	50725	Upper Level Ontology	OWL	2016-05-02T00:00:00+00:00	2016-07-05T15:30:59-07:00				5.0	TRUE	TRUE
LEGALAPATEST2	https://data.bioontology.org/ontologies/LEGALAPATEST2	http://data.bioontology.org/metadata/Ontology	Ontology	apalegal	FALSE	Legal cluster for APA ontology	227		OWL	2014-12-21T00:00:00+00:00	2014-12-21T16:08:11-08:00				1	TRUE	TRUE
DMTO	https://data.bioontology.org/ontologies/DMTO	http://data.bioontology.org/metadata/Ontology	Ontology	Diabetes Mellitus Treatment Ontology	FALSE	DMTO is an OWL 2 ontology for creating customized treatment plans for diabetic patients. The ontology is based on BFO and OGMS. In addition, it extends the DDO ontology by adding the treatment classes and axioms to the existing diagnosis part. 	0	Health|Human	OWL	2017-05-10T00:00:00+00:00	2017-05-10T15:33:48-07:00		https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-018-0176-y		2015-11-20	FALSE	FALSE
FIRE	https://data.bioontology.org/ontologies/FIRE	http://data.bioontology.org/metadata/Ontology	Ontology	Fire Ontology	FALSE	The ontology of Fire was created in order to represent the set of concepts about the fire occurring in natural vegetation, its characteristics, causes and effects, with focus on Cerrado vegetation domain. The fire plays a determinant role on the structure and composition of Cerrado physiognomies.	53		OWL	2014-02-24T18:14:37-08:00	2014-02-24T18:14:37-08:00				0.8	TRUE	TRUE
ANC	https://data.bioontology.org/ontologies/ANC	http://data.bioontology.org/metadata/Ontology	Ontology	ANC	FALSE	Antenatal Care register	0	Health	SKOS	2021-06-26T00:00:00+00:00	2021-06-26T01:23:24-07:00	aau.edu.et				FALSE	FALSE
QUDT2-1	https://data.bioontology.org/ontologies/QUDT2-1	http://data.bioontology.org/metadata/Ontology	Ontology	Quantities, Units, Dimensions and Types (QUDT Version 2.1)	FALSE	QUDT presents a unified architecture for the conceptual representation of quantities, quantity kinds, units, dimensions, and data types, which lie at the core of all scientific and engineering inquiry. But the QUDT specification is more than a core architecture and a list of these concepts, because it implements international standards and thus provides the foundation for system interoperability. In order to provide for interoperability and data exchange between information systems, the specification needs to be available in a machine processable form, with no ambiguities. For these reasons, the QUDT approach to specifying these concepts is to use precise semantically grounded specifications in an ontology model with translation into machine-processable representations.	0		OWL	2020-01-30T00:00:00+00:00	2021-02-05T18:12:49-08:00	qudt.org		qudt.org	2.1	FALSE	FALSE
PHMAMMADO	https://data.bioontology.org/ontologies/PHMAMMADO	http://data.bioontology.org/metadata/Ontology	Ontology	Phallusia mammillata Anatomy and Development Ontology	FALSE	The first ontology describing the anatomy and the development of Phallusia mammillata. 	880	Anatomy|Animal Development	OBO	2015-08-07T00:00:00+00:00	2016-08-04T15:06:52-07:00	http://www.aniseed.cnrs.fr/				TRUE	TRUE
GML	https://data.bioontology.org/ontologies/GML	http://data.bioontology.org/metadata/Ontology	Ontology	Ontology for Geography Markup Language (GML3.0)	FALSE	The Geography Markup Language (GML) is an RDF encoding for the transport and storage of geographic information, including both the geometry and properties of geographic features. Vocabulary terms are declared using OWL language to support RDF applications.	175	Other	OWL	2017-08-06T00:00:00+00:00	2017-08-06T06:45:36-07:00				version 1.0	TRUE	TRUE
ADHER_INTCARE_EN	https://data.bioontology.org/ontologies/ADHER_INTCARE_EN	http://data.bioontology.org/metadata/Ontology	Ontology	Adherence and Integrated Care	FALSE	This ontology includes concepts in English related to adherence to therapeutic plans in the context of integrated care. Includes maps with Snomed CT, bibliographic references and definitions from the Dictionary of the Royal Academy of Medicine of Spain. Ontology developed with the support of the project StandICT.eu. The equivalent ontology in Spanish is ADHER_INTCARE_SP.	264	Taxonomic Classification|Health|Biomedical Resources|Other|Vocabularies	OWL	2019-05-13T00:00:00+00:00	2019-05-13T10:01:03-07:00				English 051319	TRUE	TRUE
GLYCO	https://data.bioontology.org/ontologies/GLYCO	http://data.bioontology.org/metadata/Ontology	Ontology	Glycomics Ontology	FALSE	The GlycO ontology provides an up-to-date knowledge base of experimentally verified glycan structures. Glycan (oligosaccharide or polysaccharide) structures are represented as trees of monosaccharide residues. Linkage to proteins and lipids is supported as well. Insertion of a new glycan is controlled by curation process that includes matching the new glycan against a canonical glyco-tree (a highly branched representation for a family of glycans).	230	Molecule|Biomedical Resources|Other|Chemical|Protein	OWL	2012-10-29T00:00:00-07:00	2012-10-29T05:31:37-07:00	http://glycomics.ccrc.uga.edu/core4/informatics-ontologies.html	http://glycomics.ccrc.uga.edu/core4/informatics-ontologies.html	http://glycomics.ccrc.uga.edu/core4/informatics-ontologies.html	4.6.0.0	TRUE	TRUE
SCHEMA	https://data.bioontology.org/ontologies/SCHEMA	http://data.bioontology.org/metadata/Ontology	Ontology	Schema.org core and all extension vocabularies	FALSE	"A collection of schemas that webmasters can use to markup HTML pages in ways recognized by major search providers, and that can also be used for structured data interoperability (e.g. in JSON). This representation includes all layers, as presented in the experimental OWL file at https://schema.org/docs/schemaorg.owl. 
Versions containing -fixes in their names include the fixes described at https://github.com/schemaorg/schemaorg/issues/1611#issuecomment-299292010. "	822	Vocabularies	OWL	2018-06-12T00:00:00+00:00	2018-10-24T16:41:36-07:00	http://schema.org/		http://schema.org/docs/documents.html	3.4 fixes	TRUE	TRUE
RCTONT	https://data.bioontology.org/ontologies/RCTONT	http://data.bioontology.org/metadata/Ontology	Ontology	Randomized Controlled Trials Ontology	FALSE	"We developed and evaluated an ontology
specifically for Randomized Controlled Trials in order to facilitate the production of systematic reviews and metaanalysis."	195	Biomedical Resources	OWL	2010-11-01T00:00:00-07:00	2011-10-14T18:34:43-07:00		http://www.ncbi.nlm.nih.gov/pubmed/20953737		2.0	TRUE	TRUE
OPB	https://data.bioontology.org/ontologies/OPB	http://data.bioontology.org/metadata/Ontology	Ontology	Ontology of Physics for Biology	FALSE	The OPB is a reference ontology of classical physics and thermodynamics as applied to the dynamics of biological systems. It is designed to encompass the multiple structural scales (multiscale atoms to organisms) and multiple physical domains (multidomain fluid dynamics, chemical kinetics, particle diffusion, etc.) that are encountered in the study and analysis of biological organisms.	846	Biomedical Resources|Biological Process|Phenotype|Chemical|Physicochemical	OWL	2019-07-19T00:00:00+00:00	2019-07-19T13:55:44-07:00	https://sites.google.com/site/semanticsofbiologicalprocesses/projects/the-ontology-of-physics-for-biology-opb	http://dx.plos.org/10.1371/journal.pone.0028708		1.07	TRUE	TRUE
PAE	https://data.bioontology.org/ontologies/PAE	http://data.bioontology.org/metadata/Ontology	Ontology	Plant Anatomy	FALSE	REPLACED BY: Plant Ontology (PO). A controlled vocabulary of plant morphological and anatomical structures representing organs, tissues, cell types, and their biological relationships based on spatial and developmental organization. Note that this has been subsumed into the PO. This file is created by filtering plant_ontology_assert.obo to contain only terms from the plant anatomical entity branch of the PO. For more information, please see: http://palea.cgrb.oregonstate.edu/viewsvn/Poc/tags/live/	1548	Plant Anatomy|Plant	OBO	2013-08-20T00:00:00+00:00	2013-08-21T18:04:12-07:00	http://www.plantontology.org		http://www.plantontology.org/docs/docs.html	Release #20	TRUE	TRUE
HIV	https://data.bioontology.org/ontologies/HIV	http://data.bioontology.org/metadata/Ontology	Ontology	HIV ontology	FALSE	The HIV ontology encompasses all knowledge about HIV	0	All Organisms|Taxonomic Classification|Molecule|Genomic and Proteomic|Other|Subcellular|Human|Microbial Anatomy|Protein	OBO	2017-04-04T00:00:00+00:00	2021-01-06T10:00:57-08:00				2.6	FALSE	FALSE
MWLA	https://data.bioontology.org/ontologies/MWLA	http://data.bioontology.org/metadata/Ontology	Ontology	Medical Web Lifestyle Aggregator	FALSE	"This ontology designed and developed in order to represent the detected intentions from the Web Lifestyle Data Aggregator. In particular, it seeks to represent what is involved in the gathering of data from the web and social lifestyle of user on the Internet. We decided, therefore, to develop the ontology using the Protégé v5.0, a free, open-source ontology editor from the Stanford University. The outcome of Protégé is available on the following URL:
http://carre.kmi.open.ac.uk/ontology/lifestyle.owl
The presented ontology is generic and can support different type of providers (e.g. web searches, Facebook, Twitter etc.). Additionally, the predefined intentions are also generic supporting the majority of intentions in the Web. In the context of CARRE, we utilize, as a first attempt, the web searches as provider and we only upload the relevant intentions (health and travel) to CARRE in the private RDF repository.
A user (representing an individual person whose data is being represented using the terms of this ontology) has connections. A connection represents that a Web Lifestyle Data Aggregator of a particular personal computer of user provides intentions for particulars providers. A connection is therefore associated with a UUID (Universal Unique Identifier) that represents an installation of the aggregator. A provider can be the web searches, Facebook or Twitter. A measurement is associated with a provider and a connection in order to declare the connection (i.e. the Web Lifestyle Data Aggregator of a particular personal computer) from which a measurement came.
Every measurement must have a date at which the detected intention was taken, a weight which defines the importance of an intention and of course the detected intention that is only relevant to CARRE. "	32	Vocabularies	OWL	2015-04-26T00:00:00+00:00	2015-04-26T02:02:23-07:00	https://www.carre-project.eu/innovation/web-lifestyle-data-aggregator/			0.0.1	TRUE	TRUE
OCDM	https://data.bioontology.org/ontologies/OCDM	http://data.bioontology.org/metadata/Ontology	Ontology	Ontology of Craniofacial Development and Malformation	FALSE	The Ontology of Craniofacial Development and Malformation (OCDM) is a mechanism for representing knowledge about craniofacial development and malformation, and for using that knowledge to facilitate integrating craniofacial data obtained via multiple techniques from multiple labs and at multiple levels of granularity. The OCDM is a project of the NIDCR-sponsored FaceBase Consortium, whose goal is to promote and enable research into the genetic and epigenetic causes of specific craniofacial abnormalities through the provision of publicly accessible, integrated craniofacial data. 	0	Anatomy|Development	OWL	2018-03-30T00:00:00+00:00	2018-03-30T14:25:09-07:00	https://www.facebase.org/ocdm/			1.10.0	FALSE	FALSE
ISO639-2	https://data.bioontology.org/ontologies/ISO639-2	http://data.bioontology.org/metadata/Ontology	Ontology	ISO 639-2: Codes for the Representation of Names of Languages	FALSE	ISO 639-2 is part of the ISO 639 language code family, which provides also a two-character code set (ISO 639-1) for the representation of names of languages. ISO 639-2 contains codes for all languages contained in ISO 639-1 and several hundred additional languages. The ISO 639-2 (Bibliographic) codes were devised for use in bibliographic metadata, e.g., for libraries, information services, and publishers, and ISO 639-2 (Terminology) targets terminology, lexicography, and linguistic applications. The lists are the same except for 20 languages that have different Bibliographic and Terminology codes. The list contains over 500 discrete codes.	11	Other	OWL	2017-12-01T19:04:52-08:00	2017-12-01T19:04:52-08:00	http://id.loc.gov/vocabulary/iso639-2.html				TRUE	TRUE
PREMEDONTO	https://data.bioontology.org/ontologies/PREMEDONTO	http://data.bioontology.org/metadata/Ontology	Ontology	Precision Medicine Ontology	FALSE	Precision MedicinePreMedOnto is an application ontology built for the precision medicine domain on top of gold standard biomedical ontologies. The ontology learning process involves mining the PubMed repository to extract domain specific texts, abstracts and vocabulary as sources of data. The information gathered is clustered and outlined to determine main modules. It reuses terms and concepts from NCIT, MESH and IOBC to construct the ontology hierarchy.	543	Health	OWL	2018-11-24T00:00:00+00:00	2018-11-24T17:43:33-08:00					TRUE	TRUE
FENICS	https://data.bioontology.org/ontologies/FENICS	http://data.bioontology.org/metadata/Ontology	Ontology	Functional Epilepsy Nomenclature for Ion Channels	FALSE	The Functional Epilepsy Nomenclature for Ion Channels (FENICS) is allowing the consistent evaluation of electrophysiology experiments on Ion Channels in the context of neurological disorders, in particular epilepsy. 	151	Biological Process|Neurological Disorder|Protein|Gene Product	OWL	2020-09-30T00:00:00+00:00	2021-04-07T09:43:43-07:00				0.0.4	TRUE	TRUE
FCC1	https://data.bioontology.org/ontologies/FCC1	http://data.bioontology.org/metadata/Ontology	Ontology	Fernald Community Cohort N	FALSE	Fernald Community Cohort meta data	9	Health	OWL	2019-10-03T00:00:00+00:00	2019-10-03T15:17:36-07:00	http://www.semanticweb.org/diwaleva/ontologies/2019/9/fcc-ontology			1.0	TRUE	TRUE
APASTATISTICAL	https://data.bioontology.org/ontologies/APASTATISTICAL	http://data.bioontology.org/metadata/Ontology	Ontology	APA Statistical Cluster	FALSE	APA Statistical Cluster	140	Vocabularies	OWL	2014-12-30T00:00:00+00:00	2015-01-11T16:57:10-08:00					TRUE	TRUE
MATRROCK	https://data.bioontology.org/ontologies/MATRROCK	http://data.bioontology.org/metadata/Ontology	Ontology	Material Rock	FALSE	RocK material	22	Upper Level Ontology	OWL	2016-01-08T00:00:00+00:00	2016-01-07T13:17:40-08:00				2.3	TRUE	TRUE
INFRA-EN	https://data.bioontology.org/ontologies/INFRA-EN	http://data.bioontology.org/metadata/Ontology	Ontology	Infrastructure	FALSE	Ontologie des infrastructures de transports (aéroport, gare..)	0	Upper Level Ontology	OWL	2021-04-07T00:00:00+00:00	2021-04-07T07:27:21-07:00				1.0	FALSE	FALSE
DDIEM	https://data.bioontology.org/ontologies/DDIEM	http://data.bioontology.org/metadata/Ontology	Ontology	Drug Database for Inborn Errors of Metabolism (DDIEM) Ontology	FALSE	DDIEM Ontology for the Drug Database for Inborn Errors of Metabolism. The DDIEM database is a database of therapeutic strategies and treatments for inborn errors of metabolism. These strategies are classified by mechanism and outcome using the DDIEM Ontology. The DDIEM database also includes descriptions of the phenotypes addressed by the treatment, together with drugs and procedures applied.	213	Biomedical Resources	OWL	2019-12-30T00:00:00+00:00	2020-01-02T02:49:42-08:00	http://ddiem.phenomebrowser.net/		https://github.com/bio-ontology-research-group/DDIEM	1.2	TRUE	TRUE
AGROMOP	https://data.bioontology.org/ontologies/AGROMOP	http://data.bioontology.org/metadata/Ontology	Ontology	Control de Cacao	FALSE	Ontologia con información relevante al cuidado del cacao de manera orgánica contra plagas y enfermedades.	9	Plant|Plant Development	OWL	2020-02-28T00:00:00+00:00	2020-02-28T14:24:16-08:00				1.1	TRUE	TRUE
QUDT2	https://data.bioontology.org/ontologies/QUDT2	http://data.bioontology.org/metadata/Ontology	Ontology	Quantities, Units, Dimensions and Types (QUDT) Schema - Version 2.0	FALSE	"The QUDT, or ""Quantity, Unit, Dimension and Type"" schema defines the base classes properties, and restrictions used for modeling physical quantities, units of measure, and their dimensions in various measurement systems. The goal of the QUDT ontology is to provide a unified model of, measurable quantities, units for measuring different kinds of quantities, the numerical values of quantities in different units of measure and the data structures and data types used to store and manipulate these objects in software.

Except for unit prefixes, all units are specified in separate vocabularies. "	108	Upper Level Ontology	OWL	2016-10-09T00:00:00+00:00	2020-01-15T18:21:37-08:00	http://qudt.org/doc/2016/DOC_SCHEMA-QUDT-v2.0.html			2.0	TRUE	TRUE
SPD	https://data.bioontology.org/ontologies/SPD	http://data.bioontology.org/metadata/Ontology	Ontology	Spider Anatomy Ontology	FALSE	An ontology for spider anatomy.	832	Gross Anatomy|Anatomy|Animal Gross Anatomy	OBO	2017-01-24T00:00:00+00:00	2019-09-24T05:32:48-07:00				1.1	TRUE	TRUE
CANCO	https://data.bioontology.org/ontologies/CANCO	http://data.bioontology.org/metadata/Ontology	Ontology	Cancer Chemoprevention Ontology	FALSE	The Cancer Chemoprevention Ontology constitutes a vocabulary that is able to describe and semantically interconnect the different paradigms of the cancer chemoprevention domain.	127	Experimental Conditions|Molecule|Health|Biomedical Resources	OWL	2013-05-01T00:00:00-07:00	2013-05-01T09:16:39-07:00		http://www.semantic-web-journal.net/content/collaborative-development-common-semantic-model-interlinking-cancer-chemoprevention-linked-d		0.3	TRUE	TRUE
OMRSE	https://data.bioontology.org/ontologies/OMRSE	http://data.bioontology.org/metadata/Ontology	Ontology	Ontology of Medically Related Social Entities	FALSE	This ontology covers the domain of social entities that are related to health care, such as demographic information (social entities for recording gender (but not sex) and marital status, for example) and the roles of various individuals and organizations (patient, hospital,etc.)	609		OWL	2021-04-21T18:11:50-07:00	2021-04-21T18:11:52-07:00	http://code.google.com/p/omrse/		http://code.google.com/p/omrse/	2021-04-21	TRUE	TRUE
OBA	https://data.bioontology.org/ontologies/OBA	http://data.bioontology.org/metadata/Ontology	Ontology	Ontology of Biological Attributes	FALSE	A collection of biological attributes (traits) covering all kingdoms of life. Interoperable with VT (vertebrate trait ontology) and TO (plant trait ontology). Extends PATO.	17116	Phenotype	OWL	2018-09-01T18:12:14-07:00	2018-09-01T18:12:33-07:00	https://github.com/obophenotype/bio-attribute-ontology				TRUE	TRUE
TRAK	https://data.bioontology.org/ontologies/TRAK	http://data.bioontology.org/metadata/Ontology	Ontology	Taxonomy for Rehabilitation of Knee Conditions	FALSE	TRAK (Taxonomy for RehAbilitation of Knee conditions) is an ontology that formally models information relevant for the rehabilitation of knee conditions. TRAK provides the framework that can be used to collect coded data in sufficient detail to support epidemiologic studies so that the most effective treatment components can be identified, new interventions developed and the quality of future randomized control trials improved to incorporate a control intervention that is well defined and reflects clinical practice. 	1619	Biomedical Resources	OBO	2015-09-14T00:00:00+00:00	2015-09-14T03:39:19-07:00	http://www.cs.cf.ac.uk/trak			unknown	TRUE	TRUE
DDI	https://data.bioontology.org/ontologies/DDI	http://data.bioontology.org/metadata/Ontology	Ontology	Ontology for Drug Discovery Investigations	FALSE	The goal of DDI project is to develop an ontology for the description of drug discovery investigations. DDI aims to follow to the OBO (Open Biomedical Ontologies) Foundry principles, uses relations laid down in the OBO Relation Ontology, and be compliant with Ontology for biomedical investigations (OBI).	156		OWL	2011-01-01T00:00:00-08:00	2013-04-21T20:51:24-07:00	http://purl.org/ddi/home			$Revision$	TRUE	TRUE
MEDDRA	https://data.bioontology.org/ontologies/MEDDRA	http://data.bioontology.org/metadata/Ontology	Ontology	Medical Dictionary for Regulatory Activities Terminology (MedDRA)	TRUE	MedDRA is an international medical terminology with an emphasis on use for data entry, retrieval, analysis, and display. It applies to all phases of drug development, excluding animal toxicology, and to the health effects and malfunction of devices. An appendix includes concept descriptions which describe how a medical concept is interpreted, used, and classified within the MedDRA terminology. It is not intended as a medical definition. The concept descriptions are intended to aid the consistent and accurate use of MedDRA in coding, retrieval, and analysis.	75741	Health	UMLS	2021-04-03T00:00:00+00:00	2021-05-20T11:16:45-07:00	https://www.meddra.org/	https://www.meddra.org/msso-presentations	https://www.meddra.org/how-to-use/support-documentation	2021AA	TRUE	TRUE
COB	https://data.bioontology.org/ontologies/COB	http://data.bioontology.org/metadata/Ontology	Ontology	 Core Ontology for Biology and Biomedicine	FALSE	The Core Ontology for Biology and Biomedicine (COB) brings together key terms from a wide range of OBO projects into a single, small ontology. The goal is to improve interoperabilty and reuse across the OBO community through better coordination of key terms.	73	Upper Level Ontology	OWL	2021-02-25T18:02:25-08:00	2021-02-25T18:02:26-08:00	https://github.com/OBOFoundry/COB			2021-02-21	TRUE	TRUE
ISO19115MI	https://data.bioontology.org/ontologies/ISO19115MI	http://data.bioontology.org/metadata/Ontology	Ontology	ISO 19115 Metadata Information	FALSE	ISO 19115 Metadata Information section	23		OWL	2018-04-12T18:05:24-07:00	2018-04-12T18:05:24-07:00				2014	TRUE	TRUE
GMM	https://data.bioontology.org/ontologies/GMM	http://data.bioontology.org/metadata/Ontology	Ontology	GoMapMan	FALSE	GoMapMan is an open web-accessible resource for gene functional annotations in the plant sciences. It was developed to facilitate improvement, consolidation and visualization of gene annotations across several plant species.	1896	Biological Process|Arabidopsis|Plant	OBO	2015-08-09T00:00:00+00:00	2016-05-16T16:52:51-07:00	http://www.gomapman.org/		http://www.gomapman.org/node/2	1.2	TRUE	TRUE
VEO	https://data.bioontology.org/ontologies/VEO	http://data.bioontology.org/metadata/Ontology	Ontology	Visualized Emotion Ontology	FALSE	Visual Emotion Ontology (VEO) is an ontology that links visualizations with specific emotions from the Ortony, Clore, and Collins' description of human emotions.	724	Other	OWL	2017-12-27T00:00:00+00:00	2017-12-27T08:20:48-08:00				0.5	TRUE	TRUE
SITBAC	https://data.bioontology.org/ontologies/SITBAC	http://data.bioontology.org/metadata/Ontology	Ontology	Situation-Based Access Control Ontology	FALSE	Context-based healthcare access-control policies	178	Other	OWL	2010-01-05T00:00:00-08:00	2011-02-21T22:31:24-08:00	http://mis.hevra.haifa.ac.il/~morpeleg/			1.3	TRUE	TRUE
REX	https://data.bioontology.org/ontologies/REX	http://data.bioontology.org/metadata/Ontology	Ontology	Physico-Chemical Process	FALSE	REX is an ontology of physico-chemical processes, i.e. physico-chemical changes occurring in course of time. REX includes both microscopic processes (involving molecular entities or subatomic particles) and macroscopic processes. Some biochemical processes from Gene Ontology (GO Biological process) can be described as instances of REX.	552	Physicochemical	OBO	2011-02-15T00:00:00-08:00	2017-12-11T08:48:47-08:00	http://www.ebi.ac.uk/~kirill/REX/			1.13	TRUE	TRUE
NMR	https://data.bioontology.org/ontologies/NMR	http://data.bioontology.org/metadata/Ontology	Ontology	NMR-Controlled Vocabulary	FALSE	This is the new msi-sanctioned nmr CV, created within the COSMOS EU project, to support the nmrML data standard for nuclear magnetic resonance data in metabolomics with meaningful raw data descriptors.	788	Molecule|Biomedical Resources|Other|Subcellular|Chemical|Protein|Vocabularies|Physicochemical	OWL	2019-11-12T18:13:41-08:00	2019-11-12T18:13:44-08:00	http://nmrml.org/cv/		http://www.cosmos-fp7.eu/system/files/presentation/COSMOS%20DELIVERABLE%202.4_0.pdf	1.1.0	TRUE	TRUE
FALL	https://data.bioontology.org/ontologies/FALL	http://data.bioontology.org/metadata/Ontology	Ontology	MyOntoServiceFull_FallDetection	FALSE	fall detection scenario	51		OWL	2015-03-19T00:00:00+00:00	2015-03-19T06:18:52-07:00				1	TRUE	TRUE
ONTOPSYCHIA	https://data.bioontology.org/ontologies/ONTOPSYCHIA	http://data.bioontology.org/metadata/Ontology	Ontology	OntoPsychia, social module	FALSE	Ontology of social and environmental determinants for psychiatry	1719	Human	OWL	2018-01-30T00:00:00+00:00	2018-01-30T03:28:19-08:00				1.0	TRUE	TRUE
TEST_CBI	https://data.bioontology.org/ontologies/TEST_CBI	http://data.bioontology.org/metadata/Ontology	Ontology	test_cbi	FALSE	Testing CBI ontology	4	Vocabularies	OWL	2021-02-02T00:00:00+00:00	2021-02-02T10:25:06-08:00					TRUE	TRUE
ZFS	https://data.bioontology.org/ontologies/ZFS	http://data.bioontology.org/metadata/Ontology	Ontology	Zebrafish Developmental Stages	FALSE	An ontology of developmental stages of the Zebrafish (Danio rerio). Note that ZFA includes the leaf nodes of this ontology.	54	Anatomy	OWL	2020-04-08T18:22:03-07:00	2020-04-08T18:22:04-07:00					TRUE	TRUE
